ID,CueType,DurationF,Duration_ms,n_trials,kappa,beta,gamma,p_target,circSD_deg,nll,convergence,start_id
YILIU,NR,200ms,200,300,8.874398707547295,0.21661377618229732,0.1126401182239689,0.6707461055937338,19.83287483990315,359.07378206000067,0,28
YILIU,NR,250ms,250,300,16.713209563195843,0.0890343643415956,0.29142035997046517,0.6195452756879392,14.235451043800177,345.1098722884094,0,5
YILIU,NR,300ms,300,300,10.11078697073967,0.1485618410212061,0.14101817182215975,0.7104199871566341,18.505143688620457,330.4766141877111,0,3
YILIU,NR,350ms,350,300,7.370426073127045,0.11348917407014779,0.1690088509405239,0.7175019749893283,21.91692162680146,353.4878122746898,0,28
YILIU,R,50ms,50,300,25.048485714263357,0.004837213510597387,0.0732820885003393,0.9218806979890632,11.566137715228551,50.946815199858385,0,12
YILIU,R,100ms,100,300,27.42210876305779,0.014037273177107049,0.05670603138012728,0.9292566954427657,11.04416215851354,30.670119373240066,0,23
YILIU,R,150ms,150,300,27.51991602799417,0.001167168942810535,0.03794014816058406,0.9608926828966053,11.02414300146826,-8.586630970740025,0,21
YILIU,R,200ms,200,300,39.016774874324184,0.0032058173112101272,0.050985184280397625,0.9458089984083922,9.23270421133231,-36.49120147834097,0,28
YILIU,R,250ms,250,300,37.163147086363246,0.013137067492257912,0.033090157535631035,0.953772774972111,9.463293144175113,-41.13848109528186,0,2
YILIU,R,300ms,300,300,30.712278544022507,4.862956822280775e-9,1.4203037854035198e-8,0.9999999809340053,10.42514348113515,-85.51327414705104,0,2
YILIU,R,350ms,350,300,41.08733408148324,0.011844516283353269,0.026579453791411314,0.9615760299252354,8.994053640164571,-65.79703498629297,0,14
